0021874F skin.bin
0021E5BB skin.smg
01E3AEF4 se06_a.va1
0257F030 automap_star.tex
0289AEEF cyrus_pist.hsh
035E2054 intro.m2v
03E26333 caps_icon.tex
04AEC8FD gamefontsmall_frontend.fnt
04DAE140 cain_rock.hsh
051D1E1E nadia_knif.hsh
057ECD0F 2241_homemade_pipe_rifle.tex
0708E646 scene_mov2h.cut
07E2E77D hit_flesh_pierce.vag
0826C64C scene_mov2b.cut
08792195 scene_mov2c.cut
08B06D73 scene_mov2e.cut
08DE8E61 scene_mov2g.cut
092F1FFB vtwarehouse_1.hsh
092F4FB1 vtwarehouse_1.tex
09A214AA vtwarehouse_2.tex
09A22128 vtwarehouse_2.hsh
09A22B60 vtwarehouse_2.vat
09B94EF2 fleshchunkshvy06.vag
09C6D139 fleshchunkshvy05.vag
09E5A550 fleshchunkshvy04.vag
0A0A97D7 fleshchunkshvy03.vag
0A2825FE fleshchunkshvy02.vag
0A7C8F75 fleshchunkshvy01.vag
0AE612A1 pinup.smg
0AE67615 pinup.bin
0BA3013F pit.vat
0BA3192D pit.tex
0BA349E7 pit.hsh
0C40725B 17_desertsoldier.tex
0CA77F68 cain_gatl.hsh
0CC9B366 vaultdweller_knif.hsh
0DAE8C12 transition_to_character_4.bin
0DC4B6B3 transition_to_character_5.bin
0DE5E04E 19_bloodymess.tex
0DE8A340 transition_to_character_6.bin
0E3E485D transition_to_character_3.bin
0E7E5B93 slotempty.tex
0ED1AF9E 18_butcher.tex
0FC3F2DF frontendblankwindowbutton.tex
10FACC73 weapons_mov.va1
11CDAAB1 tiny_damage.tex
135CA7CE res_1_door.cut
141E21A9 tilecenter_frontend.tex
1552F7C0 bosbuttonnarrow.tex
15DE69DD patty_dual.hsh
15F987E6 global.hsh
167D7C6E ps2_legal_screen.tex
16912E4D tiletopright_frontend.tex
1757BADA 2204_9mmsmg.tex
17A5B98B interfacebg.tex
17F60DD8 08_firstaid.tex
182A28BE arrowright.tex
19057057 cyrus_rock.hsh
19D28386 ruins_boss.hsh
19D2CD36 ruins_boss.vat
19D2D95C ruins_boss.tex
19FD1F0A 2283_plasma_cannon.tex
1BD3A7F2 2043_tesla_cleaver.tex
1BE16493 mill_2.tex
1BE17759 mill_2.hsh
1C2F3D4C cain_skills.skl
1C30364A mill_3.tex
1C3049F8 mill_3.hsh
1C590078 mill_1.tex
1C590F3A mill_1.hsh
1C59194A mill_1.vat
1C789680 nuke.m2v
1CC942BF mill_4.hsh
1CC95565 mill_4.tex
1CD52F67 patty_hand.hsh
1D9C20F3 expl_firegrenade.vag
1E872A8E gamefontsmall.fnt
1EB0D6F5 11_weapon_explosives.tex
1F14317A mutant_transform_mix.va1
1F4A227A lab_2a.tex
1F4A3EE8 lab_2a.vat
1F4A77B0 lab_2a.hsh
1F762D39 lab_2b.tex
1F76BF9B lab_2b.hsh
1FC36E93 dialog.bin
20458B8F lab_1.tex
20459E65 lab_1.hsh
206A2712 lab_4.tex
206A3400 lab_4.vat
206A7BE0 lab_4.hsh
2075F0DB chap1_cain.smg
20765377 chap1_cain.bin
20B7930E weapons.m2v
21B997A6 2307_dynamite.tex
21C133AC 2201_baretta.tex
22AB0F78 bigfont.fnt
2326FF2F /sound/Go_Here_8505.exp
23D0BFF9 player1left.tex
244DEDF6 meleesmcc1.anm
24C94DBD meleesmcc2.anm
25C03495 fotrailer.smg
25C077A1 fotrailer.bin
25D2AC46 2001_ironglove.tex
25EDB3C8 frontendbgloadlevel.tex
269ED909 postcredit.bin
269F3725 postcredit.smg
2730DE6E environment.smg
27313BF2 environment.bin
27B5760D warehouse_1.vat
27B57EAF warehouse_1.tex
27B5F1FD warehouse_1.hsh
27DE45C7 envtex.tex
27E10F8F warehouse_3.hsh
27E13FCD warehouse_3.tex
283D6BC4 warehouse_2.tex
283D7D8E warehouse_2.hsh
287C12C9 chap2.m2v
28C12138 chap3.m2v
2A81209E frontendtextwindowlarge.tex
2B45B0B3 tutorial.hsh
2B464651 tutorial.tex
2B6F780D bigblank.tex
2C347AE7 transition_from_option.bin
2D0C6643 ruby_08a.vag
2D44664C fleshchunkslt001.vag
2D605524 proj_norm_world2.vag
2D6A0935 tiletop.tex
2D88B557 proj_norm_world1.vag
2D98203F fleshchunkslt002.vag
2DB5AE3E fleshchunkslt003.vag
2DDB31C9 fleshchunkslt004.vag
2DE21868 fleshchunkslt005.vag
2DE28072 proje_norm_cc001.vag
2E05A5E1 proje_norm_cc002.vag
2E07199B fleshchunkslt006.vag
2F25D5A2 nadia_skills.skl
3077A514 characters.m2v
30AE4467 chapter1_intro.va1
30C2974A chap1_cyrus.bin
30C2DA1E chap1_cyrus.smg
314283F9 shadowblob.tex
333C87BA vaultdweller_gatl.hsh
334FE671 rain_light.tex
33500409 rain_light.vif
3372A411 patty_gatl.hsh
338C6B29 projenocc1.anm
339556B4 option.m2v
33F3339A projenocc2.anm
34C8F10D rhombus_pist.hsh
35070346 nadia_pist.hsh
35E785ED patty_skills.skl
36126E97 swoosh_low_1.vag
363844F5 swoosh_low_3.vag
367C4B99 06_catlike.tex
369A4FCC swoosh_low_2.vag
36DA111D rhombus_hamm.hsh
373D4F0B ip.m2v
38444BF7 gameloendhitshrt.vag
390FEB4B tileleft_frontend.tex
39334014 2310_nuclear_device.tex
397095D0 tiny_energy.tex
39AF1BA2 02_diehard.tex
3B0B704E 2040_cleaver.tex
3C167DF9 monstermash.cut
3C4827B8 meleelgcn1.anm
3C6E7F8B meleelgcn2.anm
3CB9C3D9 2308_plastique.tex
3CCB8C83 2065_turbo_super_sledge_with_glow.tex
3CEC193D mx_pc_death.va1
3DDACEBF /final_assets/effects/LANDMINE_FRAGGRENADE_2.exp
3E6579A2 chap1_nadia.m2v
3F70D26F character_5.m2v
3F93449C character_6.m2v
3FBF0CAE character_4.m2v
3FEC67C9 character_3.m2v
404FF561 cain_hamm.hsh
